accession	project	bases	gc	ags	country	div	arg_copies	cpg
SRR18491171	PRJNA820119	2544.37393	674.5	3.7722371089696076	CN	3.150262347377126	2952.978	4.378025203854707
SRR18491172	PRJNA820119	2992.248701	793.625	3.770355899826744	CN	3.483731422418285	2450.869	3.0881953063474565
SRR18491173	PRJNA820119	2848.035833	793.5	3.5892070989287963	CN	4.349908691263558	3363.151	4.238375551354757
SRR18491174	PRJNA820119	3001.80763	878.25	3.4179420779960146	CN	2.887456302551062	3915.2019999999998	4.457958440079704
SRR18491175	PRJNA820119	2695.80972	778.25	3.463937963379377	CN	3.825457773319499	2423.618	3.1141895277867007
SRR18491176	PRJNA820119	10185.544102	3197.5	3.1854711812353402	CN	4.153553754414571	10159.252	3.177248475371384
SRR18491180	PRJNA820119	3294.902188	927.375	3.5529340212966707	CN	4.580825023707804	2741.02	2.9556759671114707
SRR18491181	PRJNA820119	3460.1536	890.0	3.8878130337078654	CN	3.7221594975057615	3908.2780000000002	4.391323595505618
SRR18491182	PRJNA820119	6157.565854	1797.375	3.4258659734334795	CN	4.441429553192332	6198.01	3.448367758536755
SRR18491183	PRJNA820119	5034.86612	1582.875	3.180836212587854	CN	3.9642032274717836	6706.7390000000005	4.237061675748243
SRR18491184	PRJNA820119	2353.714393	693.75	3.3927414673873875	CN	4.024981468009812	2141.047	3.086193873873874
SRR18491185	PRJNA820119	2710.961095	816.75	3.319205503520049	CN	4.463310422570262	2238.528	2.740775022956841
SRR18491186	PRJNA820119	6528.057927	2061.375	3.166846365653993	CN	3.571916778471027	8940.738	4.337269055848644
SRR18491188	PRJNA820119	2875.131452	789.75	3.6405589768914215	CN	3.090393615272598	3777.2039999999997	4.782784425451092
SRR18491189	PRJNA820119	2594.008394	656.125	3.9535277485235283	CN	3.3484381090223936	3589.635	5.4709620880167655
SRR18491190	PRJNA820119	2580.669717	750.25	3.439746373875375	CN	4.026953602080251	3579.425	4.770976341219594
SRR18491191	PRJNA820119	5940.398412	1805.625	3.2899402766355137	CN	4.460555807324015	8888.203	4.922507718933887
SRR18491192	PRJNA820119	3434.871136	1059.5	3.2419737008022653	CN	4.8765123500131855	3122.515	2.9471590372817364
SRR18491193	PRJNA820119	8802.258759	2634.5	3.3411496523059405	CN	4.686075000282496	19610.817	7.44384778895426
SRR18491194	PRJNA820119	3002.310061	777.75	3.8602508016714885	CN	3.7138451516476634	3274.507	4.210230793956927
